date,game_no,team1,team2,score1,score2,venue,duration,winning_pitcher,losing_pitcher,save,MVP
2025-11-15,1,日本社會人,台灣海洋,5,1,澄清湖,2H57M,川合慎磨,黃勃睿,,外山優希
2025-11-15,2,日職聯隊,台灣山林,6,8,澄清湖,3H18M,陳聖凱,金渕光希,盧冠宇,陳聖凱
2025-11-16,3,韓職聯隊,日本社會人,5,5,澄清湖,2H52M,,,,石相昊
2025-11-16,4,台灣海洋,台灣山林,15,1,澄清湖,3H28M,陳宇宏,余謙,,高聖恩
2025-11-17,5,日本社會人,日職聯隊,6,3,嘉義市,2H42M,伊東佳希,安德駿,,伊東佳希
2025-11-17,6,台灣海洋,韓職聯隊,5,4,嘉義市,3H0M,韋宏亮,李庸凖,,曾昱磬
2025-11-18,7,台灣海洋,日職聯隊,0,3,澄清湖,2H32M,宮國凌空,王柏傑,廣澤優,宮國凌空
2025-11-18,8,韓職聯隊,台灣山林,2,7,澄清湖,3H7M,曾家輝,朴埈佑,,曾家輝
2025-11-19,9,韓職聯隊,日職聯隊,7,3,澄清湖,2H40M,朴世津,茨木秀俊,,朴世津
2025-11-19,10,台灣山林,日本社會人,1,3,澄清湖,2H32M,川原嗣貴,張景淯,川合慎磨,川原嗣貴
,11,韓職聯隊,台灣海洋,,,嘉義市,,,,,
,12,日職聯隊,日本社會人,,,嘉義市,,,,,
,13,日本社會人,台灣海洋,,,澄清湖,,,,,
,14,台灣山林,日職聯隊,,,澄清湖,,,,,
,15,日本社會人,韓職聯隊,,,澄清湖,,,,,
,16,台灣山林,台灣海洋,,,澄清湖,,,,,
,17,台灣山林,韓職聯隊,,,澄清湖,,,,,
,18,日職聯隊,台灣海洋,,,澄清湖,,,,,
,19,日本社會人,台灣山林,,,嘉義市,,,,,
,20,日職聯隊,韓職聯隊,,,嘉義市,,,,,
,21,台灣海洋,日本社會人,,,澄清湖,,,,,
,22,日職聯隊,台灣山林,,,澄清湖,,,,,
,23,台灣海洋,韓職聯隊,,,澄清湖,,,,,
,24,日職聯隊,日本社會人,,,澄清湖,,,,,
,25,日職聯隊,韓職聯隊,,,嘉義市,,,,,
,26,日本社會人,台灣山林,,,嘉義市,,,,,
,27,台灣山林,台灣海洋,,,澄清湖,,,,,
,28,韓職聯隊,日本社會人,,,澄清湖,,,,,
,29,日職聯隊,台灣海洋,,,澄清湖,,,,,
,30,韓職聯隊,台灣山林,,,澄清湖,,,,,
,31,台灣海洋,日本社會人,,,澄清湖,,,,,
,32,台灣山林,日職聯隊,,,澄清湖,,,,,
,33,台灣海洋,台灣山林,,,澄清湖,,,,,
,34,日本社會人,日職聯隊,,,澄清湖,,,,,
,35,日職聯隊,台灣山林,,,澄清湖,,,,,
,36,日本社會人,台灣海洋,,,澄清湖,,,,,
,37,台灣海洋,日職聯隊,,,嘉義市,,,,,
,38,台灣山林,日本社會人,,,嘉義市,,,,,
,39,日本社會人,台灣海洋,,,澄清湖,,,,,
,40,日職聯隊,台灣山林,,,澄清湖,,,,,
